siteNum,Site,Latitude,Longitude,Elevation Range (m),elevMin,elevMid,elevMax,Biotic Community,Slope,numSpp_mammalsAll,numSpp_plantsCommon,numSpp_plantsUncommon,numSpp_plantsAll
1,SDS,32.31322438,-110.7123025,1146 - 1214,1146,1180,1214,Desertscrub,S,6,44,30,74
2,SGS,32.33744,-110.71924,1460 - 1538,1460,1499,1538,Semidesert Grassland,S,5,52,36,88
3,ICS,32.37734268,-110.6857492,1884 - 1929,1884,1906.5,1929,Interior Chaparral,S,2,10,17,27
4,OWS,32.39200448,-110.7047277,2096 - 2163,2096,2129.5,2163,Oak Woodland,S,3,26,24,50
5,CFS,32.42276744,-110.7317724,2363 - 2431,2363,2397,2431,Conifer Forest,S,5,25,20,45
6,CFP,32.4412,-110.78434,2761 - 2790,2761,2775.5,2790,Conifer Forest,Peak,4,24,19,43
7,CFN,32.45156243,-110.7467846,2195 - 2391,2195,2293,2391,Conifer Forest,N,3,10,13,23
8,OWN,32.45021099,-110.7373919,2055 - 2095,2055,2075,2095,Oak Woodland,N,5,9,21,30
9,ICN,32.50020822,-110.6825961,1315 - 1342,1315,1328.5,1342,Interior Chaparral,N,4,32,22,54
10,SGN,32.51622,-110.68707,1348 - 1368,1348,1358,1368,Semidesert Grassland,N,8,61,70,131