locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,uncertainty radius (circular polygon),Museum,Museum Abbreviation,Catalog Number,Special Collections,Kind of Object,Specimen Count,scientificname,Current Identification,Other Identifications,Name Hierarchy,Order,Family,Type Status,Type Citations,Date Collected,Ocean,Sea/Gulf,Bay/Sound,Island Name,Elevation (m),Collector(s),Other Numbers (Type: Value),Sex/Stage,Preparation Details (Preparation:Remarks),Microhabitat Description,Reproductive Condition,Progeny Details,Measurements,Stomach Contents,Collection Method,Number of Individuals,Sexual Maturity,Physical Maturity,Specimen Condition,Injury,Parasite,Bibliography,Notes,Genetic Sample Type,Biorepository Number,Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Depleted?,Record Last Modified,EZID
Lower Sabino Canyon Campground,United States,Arizona,Pima,32.322298,-110.809812,yes,Low(43),,"31.865916,-111.456772,SABINO CANYON|Unavailable|Unavailable|Low(43),32.322298,-110.809812,SABINO CANYON|Unavailable|Unavailable|Low(43),31.8167,-111.5667,SABINO CANYON|Unavailable|Unavailable|Low(43)",27245,,,USNM,297664,,Specimen/Lot,1,Neotoma albigula,Neotoma albigula albigula,,Neotoma albigula albigula : Cricetidae : Rodentia : Mammalia : Chordata,Rodentia,Cricetidae,,,1/5/1951,,,,,,"Anderson, H.",Mammals Field Number: 47,Male,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,3/31/2020 15:23,http://n2t.net/ark:/65665/3c28b1469-75ad-4d83-9b0e-bd2e5e625b75
"Rillito Creek, 3.7 Mi N, On Campbell Road",United States,Arizona,Pima,32.284465,-110.943586,yes,Low(43),,"32.2667,-110.8667,RILLITO CREEK|Unavailable|Unavailable|Low(43),32.4,-111.15,RILLITO|Unavailable|Unavailable|Low(37),32.414794,-111.156214,RILLITO|Unavailable|Unavailable|Low(37)",301,,,USNM,313877,,Specimen/Lot,1,Chaetodipus baileyi,Chaetodipus baileyi baileyi,,Chaetodipus baileyi baileyi : Heteromyidae : Rodentia : Mammalia : Chordata,Rodentia,Heteromyidae,,,11/25/1955,,,,,,"Kennedy, C. E.",Mammals Field Number: 102,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,3/27/2020 19:28,http://n2t.net/ark:/65665/3e6fe1efa-8600-439b-a960-e658f58488a6
"Bear Canyon, Mouth Of, S Catalina Mountains",United States,Arizona,Pima,32.302853,-110.800366,no,Low(41),,"32.302853,-110.800366,BEAR CANYON|Unavailable|1506|Low(41),31.7,-111.6,BEAR CANYON|Unavailable|1506|Low(41),31.717585,-111.650945,BEAR CANYON|Unavailable|1506|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,229512,Biological Survey Specimen,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,8/31/1918,,,,,,"Howell, A. B.",Mammals Field Number: 276,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,4/9/2020 16:23,http://n2t.net/ark:/65665/3655c6228-accd-4b7b-af5e-2576257c066b
"Bear Canyon, Mouth Of, S Catalina Mountains",United States,Arizona,Pima,32.302853,-110.800366,no,Low(41),,"32.302853,-110.800366,BEAR CANYON|Unavailable|1506|Low(41),31.7,-111.6,BEAR CANYON|Unavailable|1506|Low(41),31.717585,-111.650945,BEAR CANYON|Unavailable|1506|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,229513,Biological Survey Specimen,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,8/31/1918,,,,,,"Howell, A. B.",Mammals Field Number: 277,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,4/9/2020 16:23,http://n2t.net/ark:/65665/3a1852643-485f-400d-b6ca-a83de6b65a01
"Santa Catalina Mountains, Lower Bear Canyon, 1 mile above end of road",United States,Arizona,Pima,32.302853,-110.800366,yes,Medium(74),,"32.458674,-110.750382,(g3)Santa Catalina Mountains|Unavailable|18212|Medium(74),32.430353,-110.70537,SANTA CATALINA MOUNTAINS|Unavailable|301|Low(54),32.4167,-110.7,SANTA CATALINA MOUNTAINS|Unavailable|301|Low(54),32.302853,-110.800366,BEAR CANYON|Unavailable|1506|Low(41),31.717585,-111.650945,BEAR CANYON|Unavailable|1506|Low(41),31.7,-111.6,BEAR CANYON|Unavailable|1506|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506 m,,,USNM,602445,Biological Survey Specimen,Specimen/Lot,1,Lasiurus cinereus,Lasiurus cinereus cinereus,,Lasiurus cinereus cinereus : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,9/13/1965,,,,,,,Mammals Field Number: WB 496,Female,Skin; Skull,,,,Total Length: 138mm; Tail Length: 62mm; Hind Tarsus Length: 11mm; Ear Notch Length: 14mm; Tragus Length: 6mm,,,,,,,,,,,,,,,,,,10/5/2016 18:38,http://n2t.net/ark:/65665/32ab8f3a6-1699-4f12-82de-0694285f28a4
"Santa Catalina Mtns, Bear Canyon, 1 mi below picnic area",United States,Arizona,Pima,32.296323,-110.806812,yes,Low(41),,"32.302853,-110.800366,BEAR CANYON|Unavailable|1506|Low(41),31.7,-111.6,BEAR CANYON|Unavailable|1506|Low(41),31.717585,-111.650945,BEAR CANYON|Unavailable|1506|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601263,Biological Survey Specimen,Specimen/Lot,1,Myotis melanorhinus,Myotis melanorhinus,,Myotis melanorhinus : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,9/7/1965,,,,,,,Mammals Field Number: WB 460,Male,Skin; Skull,,,,Total Length: 80mm; Tail Length: 36mm; Hind Tarsus Length: 6mm; Ear Notch Length: 12mm; Tragus Length: 5mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3d4babbb3-10f1-4fdc-a598-c5464961a52f
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.427854,-110.75565,yes,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|Unavailable|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|Unavailable|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|Unavailable|Low(39),32.5,-110.9167,CATALINA|Unavailable|Unavailable|Low(38)",Unavailable,,,USNM,601274,Biological Survey Specimen,Specimen/Lot,1,Myotis thysanodes,Myotis thysanodes thysanodes,,Myotis thysanodes thysanodes : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,8/13/1965,,,,,2347,,Mammals Field Number: WB 330,Male,Skin; Skull,,,,Total Length: 93mm; Tail Length: 40mm; Hind Tarsus Length: 11mm; Ear Notch Length: 18mm; Tragus Length: 11mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3c8b23c21-ee9c-4315-b216-f9cc310d5821
"Santa Catalina Mtns. Lower Bear Canyon, 1 mi above end of road",United States,Arizona,Pima,32.302853,-110.800366,no,Low(41),,"32.302853,-110.800366,BEAR CANYON|Unavailable|Unavailable|Low(41),31.7,-111.6,BEAR CANYON|Unavailable|Unavailable|Low(41),31.717585,-111.650945,BEAR CANYON|Unavailable|Unavailable|Low(41),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|Unavailable|Low(39),32.5,-110.9167,CATALINA|Unavailable|Unavailable|Low(38)",1506,,,USNM,602048,Biological Survey Specimen,Specimen/Lot,1,Nyctinomops femorosaccus,Nyctinomops femorosaccus,,Nyctinomops femorosaccus : Molossidae : Chiroptera : Mammalia : Chordata,Chiroptera,Molossidae,,,9/13/1965,,,,,,,Mammals Field Number: WB 495,Male,Skin; Skull,,,,Specimen Weight: 4g; Total Length: 110mm; Tail Length: 50mm; Hind Tarsus Length: 9mm; Ear Notch Length: 24mm,,,,,,,,,,,,,,,,,,8/23/2017 18:29,http://n2t.net/ark:/65665/3a010b123-d25f-4590-bd8d-477373feda6f
"Tucson, 3 Mi N Of Rillito Creek, E Of N Campbell Avenue",United States,Arizona,Pima,32.310238,-110.8667,no,High(88),,"32.310238,-110.8667,Distance North of RILLITO CREEK|Unavailable|Unavailable|High(88),32.443537,-111.15,Distance North of RILLITO|Unavailable|Unavailable|High(82),32.458331,-111.156215,Distance North of RILLITO|Unavailable|Unavailable|High(82),32.221743,-110.926479,TUCSON|AZ:ppl:1068@PPL|Unavailable|Low(37),32.2167,-110.9167,TUCSON|Unavailable|Unavailable|Low(36)",4764,,,USNM,313859,,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,1/10/1958,,,,,732,"Tisch, E. L.",Mammals Field Number: 5,Male,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,3/27/2020 19:28,http://n2t.net/ark:/65665/353326d98-ce52-4422-ab46-bd9484ae59ee
"Catalina Foothills, 8 Mi N, 0.5 Mi E University Of Arizona Campus",United States,Arizona,Pima,32.347978,-110.944884,no,High(96),,"32.347978,-110.944884,Distance NORTH of  then EAST of UNIVERSITY OF ARIZONA|Unavailable|5679|High(96),32.23111,-110.95194,(g3)University of Arizona|Unavailable|829|Medium(71),32.297853,-110.918704,CATALINA FOOTHILLS|AZ:ppl:870@PPL|10446|Low(49),32.2833,-110.9167,CATALINA FOOTHILLS|Unavailable|301|Low(48),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",5679,,,USNM,313858,,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,10/8/1957,,,,,,"Johnson, R. D.",Mammals Field Number: 2,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,3/27/2020 19:28,http://n2t.net/ark:/65665/3120878e6-dad5-4305-bb6c-6d24607921f4
9 mi N Tucson,United States,Arizona,Pima,32.352358,-110.926479,no,High(82),,"32.352358,-110.926479,Distance North of TUCSON|AZ:ppl:1068@PPL@9@0|34643|High(82),32.347315,-110.9167,Distance North of TUCSON|Unavailable|11945|High(81)",34643,,,USNM,293416,,Specimen/Lot,1,Ammospermophilus harrisii,Ammospermophilus harrisii harrisii,,Ammospermophilus harrisii harrisii : Sciuridae : Rodentia : Mammalia : Chordata,Rodentia,Sciuridae,,,4/16/1930,,,,,,"Dice, L. R.",Mammals Field Number: 185/61741,Female,Skin; Skull,,,,,,,,,,,,,,,,,,,,,,4/1/2020 14:52,http://n2t.net/ark:/65665/37398322a-a55b-4389-b2e3-61a680b913a0
"Santa Catalina and Rincon Mountains, top of pass between, along highway, [25 mi ENE of Tucson (see Miller and Kellogg 1955)]",United States,Arizona,Pima,32.354925,-110.520499,yes,High(82),,"32.359968,-110.530256,Distance ENE of TUCSON|AZ:ppl:1068@PPL@25@67.5|30648|High(82),32.354925,-110.520499,Distance ENE of TUCSON|Unavailable|8293|High(81),32.132022,-110.519523,RINCON MOUNTAINS|Unavailable|301|Low(46),32.1167,-110.5167,RINCON MOUNTAINS|Unavailable|301|Low(46),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38),32.076184,-111.917905,RINCON|Unavailable|301|Low(36)",30648,,,USNM,262813,Types,Specimen/Lot,1,Thomomys bottae,Thomomys bottae catalinae,"Thomomys bottae parvulus Goldman, 1938",Thomomys bottae catalinae : Geomyidae : Rodentia : Mammalia : Chordata,Rodentia,Geomyidae,Type,"Goldman, E. A. 1938 Jul 15. Journal of the Washington Academy of Sciences. 28: 339.",6/5/1937,,,,,1372,"Goldman, L. C.",Mammals Field Number: 213,Male : Adult,Skin; Skull,lower edge of oaks,,,Total Length: 200mm; Tail Length: 45mm; Hind Tarsus Length: 26mm,,,,,,,,,"Miller, G. S. & Kellogg, R. 1955. United States National Museum Bulletin. 205: 292. Fisher, R. D. & Ludwig, C. A. 2012 Oct 23. Catalog of type specimens of recent mammals: Rodentia (Sciuromorpha and Castorimorpha) in the National Museum of Natural History, Smithsonian Institution. Smithsonian Contributions to Zoology. 640: 1-97.",,,,,,,,,4/6/2020 16:43,http://n2t.net/ark:/65665/316290f1a-4943-467d-8907-24ed0098efb3
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601282,Biological Survey Specimen,Specimen/Lot,1,Corynorhinus townsendii,Corynorhinus townsendii pallescens,,Corynorhinus townsendii pallescens : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 212,Female,Skin; Skull,,,,Specimen Weight: 9.5g; Total Length: 94mm; Tail Length: 55mm; Hind Tarsus Length: 10mm; Ear Notch Length: 33mm; Tragus Length: 14mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3a8306a57-794e-4903-bbcb-69d9daef7453
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601269,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 213,Female,Skin; Skull,,,,Specimen Weight: 9.2g; Total Length: 92mm; Tail Length: 45mm; Hind Tarsus Length: 10mm; Ear Notch Length: 20mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3477228bc-d1eb-4100-b95f-ea8344382d7a
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601270,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 214,Female,Skin; Skull,,,,Specimen Weight: 7.2g; Total Length: 89mm; Tail Length: 37mm; Hind Tarsus Length: 10mm; Ear Notch Length: 19mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/34addaf8c-03ce-474f-ab4c-49596715a3bc
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601271,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 215,Female,Skin; Skull,,,1 embryo 18 mm right side,Specimen Weight: 8.8g; Total Length: 89mm; Tail Length: 46mm; Hind Tarsus Length: 9mm; Ear Notch Length: 19mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3d53f46a8-a6f0-4b6e-bdb1-b0b669642c5c
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601272,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 216,Female,Skin; Skull,,,1 embryo 18 mm,Specimen Weight: 8.1g; Total Length: 94mm; Tail Length: 46mm; Hind Tarsus Length: 10mm; Ear Notch Length: 19mm; Tragus Length: 10mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/3a9dacda8-da30-4232-a6cc-4bfa0f45fadf
"Santa Catalina Mtns., Marshall Gulch",United States,Arizona,Pima,32.4167,-110.7667,no,Low(44),,"32.4167,-110.7667,MARSHALL GULCH|Unavailable|1506|Low(44),32.427854,-110.75565,MARSHALL GULCH|Unavailable|1506|Low(44),32.505556,-110.921111,CATALINA|AZ:ppl:869@PPL|5372|Low(39),32.5,-110.9167,CATALINA|Unavailable|301|Low(38)",1506,,,USNM,601273,Biological Survey Specimen,Specimen/Lot,1,Myotis auriculus,Myotis auriculus apache,,Myotis auriculus apache : Vespertilionidae : Chiroptera : Mammalia : Chordata,Chiroptera,Vespertilionidae,,,6/21/1965,,,,,2347,,Mammals Field Number: WB 217,Male,Skin; Skull,,,,Specimen Weight: 6.4g; Total Length: 95mm; Tail Length: 45mm; Hind Tarsus Length: 10mm; Ear Notch Length: 20mm; Tragus Length: 11mm,,,,,,,,,,,,,,,,,,10/5/2016 18:37,http://n2t.net/ark:/65665/37d97f59c-ca8b-4396-b19c-d31802ee23f6
